provider,attribute_path,description,provider_uid,publisher,publication_id,publication_title,entity_level,value_types,occurrences,non_null_occurrences,sample_values
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].locationReference.locPointLocation.locLocationExtensionG.FacilityLocation.address.city.values[].lang,Language code for localized City text in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Location reference > Point location > Location extension > Facility location > Address,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,station,string,1,1,de
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].locationReference.locPointLocation.locLocationExtensionG.FacilityLocation.address.city.values[].value,Localized text value for City in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Location reference > Point location > Location extension > Facility location > Address,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,station,string,1,1,Merching
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].locationReference.locPointLocation.locLocationExtensionG.FacilityLocation.address.countryCode,Country code in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Location reference > Point location > Location extension > Facility location > Address,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,station,string,1,1,DE
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].locationReference.locPointLocation.locLocationExtensionG.FacilityLocation.address.postcode,Postcode in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Location reference > Point location > Location extension > Facility location > Address,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,station,string,1,1,86504
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].numberOfRefillPoints,Number of charge points in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,station,integer,1,1,2
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].operator.afacAnOrganisation.name.values[].lang,Language code for localized Name text in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Operator > Afac An Organisation,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,station,string,1,1,de
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].operator.afacAnOrganisation.name.values[].value,Localized text value for Name in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Operator > Afac An Organisation,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,station,string,1,1,Scherenberg e-Mobility e.K.
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].refillPoint[].aegiElectricChargingPoint.availableChargingPower[],available Charging Power list in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Charge point > AFIR Electric Charging Point,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,charge_point,integer,2,2,7360
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].refillPoint[].aegiElectricChargingPoint.availableVoltage[],available Voltage list in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Charge point > AFIR Electric Charging Point,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,charge_point,integer,2,2,230
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].refillPoint[].aegiElectricChargingPoint.connector[].connectorFormat.value,Connector Format value in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Charge point > AFIR Electric Charging Point > Connector,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,connector,string,2,2,socket
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].refillPoint[].aegiElectricChargingPoint.connector[].connectorType.value,Connector Type value in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Charge point > AFIR Electric Charging Point > Connector,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,connector,string,2,2,iec62196T2
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].refillPoint[].aegiElectricChargingPoint.connector[].maxPowerAtSocket,Max Power At Socket in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Charge point > AFIR Electric Charging Point > Connector,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,connector,integer,2,2,7360
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].refillPoint[].aegiElectricChargingPoint.currentType.value,Current type value in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Charge point > AFIR Electric Charging Point,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,charge_point,string,2,2,ac
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].refillPoint[].aegiElectricChargingPoint.deliveryUnit.value,Delivery unit value in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Charge point > AFIR Electric Charging Point,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,charge_point,string,2,2,kWh
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].refillPoint[].aegiElectricChargingPoint.externalIdentifier[].identifier,Identifier in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Charge point > AFIR Electric Charging Point > external Identifier list,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,charge_point,string,2,2,DE*SEM*E0001*2 | DE*SEM*E0001*1
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].refillPoint[].aegiElectricChargingPoint.externalIdentifier[].typeOfIdentifier.extendedValueG,Extended Value G in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Charge point > AFIR Electric Charging Point > external Identifier list > Type Of Identifier,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,charge_point,string,2,2,evseId
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].refillPoint[].aegiElectricChargingPoint.externalIdentifier[].typeOfIdentifier.value,Type Of Identifier value in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Charge point > AFIR Electric Charging Point > external Identifier list,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,charge_point,string,2,2,extendedG
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].refillPoint[].aegiElectricChargingPoint.idG,Global DATEX identifier in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Charge point > AFIR Electric Charging Point,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,charge_point,string,2,2,f8216dbd-614e-46f9-861f-6af8b27360ea | 1506d18f-e7b8-41da-a185-059604556c2d
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].refillPoint[].aegiElectricChargingPoint.lastUpdated,Last updated timestamp in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Charge point > AFIR Electric Charging Point,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,charge_point,string,2,2,2023-10-14T10:30:36Z | 2025-10-11T12:41:09Z
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].refillPoint[].aegiElectricChargingPoint.numberOfConnectors,Number of connectors in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Charge point > AFIR Electric Charging Point,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,charge_point,integer,2,2,1
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].refillPoint[].aegiElectricChargingPoint.usageType[].value,usage Type list value in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Charge point > AFIR Electric Charging Point,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,charge_point,string,2,2,electricVehicle
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].refillPoint[].aegiElectricChargingPoint.versionG,DATEX version number in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Charge point > AFIR Electric Charging Point,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,charge_point,string,2,2,1
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].serviceType[].serviceType.value,Service type value in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > service Type list,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,station,string,1,1,unattended
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].totalMaximumPower,Total maximum power in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,station,integer,1,1,14720
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].versionG,DATEX version number in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,station,string,1,1,1
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].idG,Global DATEX identifier in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,site,string,1,1,32464A12-0730-44D5-A70F-EE9C3B9E73A9
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].locationReference.locAreaLocation.coordinatesForDisplay.latitude,Latitude in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Location reference > Loc Area Location > Display coordinates,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,site,number,1,1,48.243075
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].locationReference.locAreaLocation.coordinatesForDisplay.longitude,Longitude in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Location reference > Loc Area Location > Display coordinates,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,site,number,1,1,10.991554
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].locationReference.locAreaLocation.locLocationExtensionG.FacilityLocation.address.addressLine[].order,Ordering index for Address line in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Location reference > Loc Area Location > Location extension > Facility location > Address,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,site,integer,2,2,0 | 1
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].locationReference.locAreaLocation.locLocationExtensionG.FacilityLocation.address.addressLine[].text.values[].lang,Language code for localized Address line text in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Location reference > Loc Area Location > Location extension > Facility location > Address,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,site,string,2,2,de
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].locationReference.locAreaLocation.locLocationExtensionG.FacilityLocation.address.addressLine[].text.values[].value,Localized text value for Address line in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Location reference > Loc Area Location > Location extension > Facility location > Address,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,site,string,2,2,Wittelsbacher Straße | 13
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].locationReference.locAreaLocation.locLocationExtensionG.FacilityLocation.address.addressLine[].type.value,Type value in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Location reference > Loc Area Location > Location extension > Facility location > Address > Address line,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,site,string,2,2,street | houseNumber
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].locationReference.locAreaLocation.locLocationExtensionG.FacilityLocation.address.city.values[].lang,Language code for localized City text in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Location reference > Loc Area Location > Location extension > Facility location > Address,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,site,string,1,1,de
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].locationReference.locAreaLocation.locLocationExtensionG.FacilityLocation.address.city.values[].value,Localized text value for City in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Location reference > Loc Area Location > Location extension > Facility location > Address,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,site,string,1,1,Merching
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].locationReference.locAreaLocation.locLocationExtensionG.FacilityLocation.address.countryCode,Country code in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Location reference > Loc Area Location > Location extension > Facility location > Address,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,site,string,1,1,DE
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].locationReference.locAreaLocation.locLocationExtensionG.FacilityLocation.address.postcode,Postcode in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Location reference > Loc Area Location > Location extension > Facility location > Address,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,site,string,1,1,86504
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].name.values[].lang,Language code for localized Name text in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,site,string,1,1,de
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].name.values[].value,Localized text value for Name in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,site,string,1,1,Mike Zuhause
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].operator.afacAnOrganisation.name.values[].lang,Language code for localized Name text in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Operator > Afac An Organisation,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,site,string,1,1,de
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].operator.afacAnOrganisation.name.values[].value,Localized text value for Name in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Operator > Afac An Organisation,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,site,string,1,1,Scherenberg e-Mobility e.K.
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].versionG,DATEX version number in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,site,string,1,1,1
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].idG,Global DATEX identifier in AFIR energy infrastructure table publication > Energy infrastructure table,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,publication,string,1,1,00000000-0000-0000-0000-000000000001
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].tableName,Table Name in AFIR energy infrastructure table publication > Energy infrastructure table,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,publication,string,1,1,Charging Locations
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].versionG,DATEX version number in AFIR energy infrastructure table publication > Energy infrastructure table,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,publication,string,1,1,1
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.headerInformation.confidentiality.value,Confidentiality value in AFIR energy infrastructure table publication > Header Information,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,publication,string,1,1,noRestriction
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.headerInformation.informationStatus.value,Information Status value in AFIR energy infrastructure table publication > Header Information,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,publication,string,1,1,test
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.lang,Language code for AFIR energy infrastructure table publication,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,publication,string,1,1,de
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.publicationCreator.country,Country in AFIR energy infrastructure table publication > Publication Creator,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,publication,string,1,1,DE
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.publicationCreator.nationalIdentifier,National Identifier in AFIR energy infrastructure table publication > Publication Creator,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,publication,string,1,1,DE-NAP-YourOrgName
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.publicationTime,Publication Time in AFIR energy infrastructure table publication,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,publication,string,1,1,2026-04-13T10:29:12.755Z
800 Volt Technologies GmbH,payload.modelBaseVersionG,Model Base Version G,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,publication,string,1,1,3
800 Volt Technologies GmbH,payload.profileNameG,Profile Name G,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,publication,string,1,1,AFIR Energy Infrastructure
800 Volt Technologies GmbH,payload.profileVersionG,Profile Version G,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,publication,string,1,1,01-00-00
chargecloud GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].accessibility[].value,accessibility list value in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site,chargecloud_gmbh,chargecloud GmbH,978597062404620288,AFIR-recharging-stat-chargecloud-json,site,string,4053,4053,unknown
chargecloud GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].accessibility[].value,accessibility list value in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station,chargecloud_gmbh,chargecloud GmbH,978597062404620288,AFIR-recharging-stat-chargecloud-json,station,string,8524,8524,unknown
chargecloud GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].amenities.illuminated,Illuminated in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Amenities,chargecloud_gmbh,chargecloud GmbH,978597062404620288,AFIR-recharging-stat-chargecloud-json,station,boolean,8524,8524,False | True
chargecloud GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].amenities.roofed,Roofed in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Amenities,chargecloud_gmbh,chargecloud GmbH,978597062404620288,AFIR-recharging-stat-chargecloud-json,station,boolean,8524,8524,False | True
chargecloud GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].applicableForVehicles[],applicable For Vehicles list in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station,chargecloud_gmbh,chargecloud GmbH,978597062404620288,AFIR-recharging-stat-chargecloud-json,station,null,3863,0,
