provider,attribute_path,description,provider_uid,publisher,publication_id,publication_title,entity_level,value_types,occurrences,non_null_occurrences,sample_values
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].accessibility[].value,accessibility list value in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,site,string,1,1,unknown
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].authenticationAndIdentificationMethods[].value,authentication And Identification Methods list value in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,station,string,2,2,apps | rfid
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].idG,Global DATEX identifier in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,station,string,1,1,71890116-E63C-4CE8-8097-56B20ECE3B4E
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].lastUpdated,Last updated timestamp in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,station,string,1,1,2023-02-07T18:50:50Z
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].locationReference.locPointLocation.coordinatesForDisplay.latitude,Latitude in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Location reference > Point location > Display coordinates,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,station,number,1,1,48.243075
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].locationReference.locPointLocation.coordinatesForDisplay.longitude,Longitude in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Location reference > Point location > Display coordinates,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,station,number,1,1,10.991554
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].locationReference.locPointLocation.locLocationExtensionG.FacilityLocation.address.addressLine[].order,Ordering index for Address line in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Location reference > Point location > Location extension > Facility location > Address,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,station,integer,2,2,0 | 1
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].locationReference.locPointLocation.locLocationExtensionG.FacilityLocation.address.addressLine[].text.values[].lang,Language code for localized Address line text in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Location reference > Point location > Location extension > Facility location > Address,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,station,string,2,2,de
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].locationReference.locPointLocation.locLocationExtensionG.FacilityLocation.address.addressLine[].text.values[].value,Localized text value for Address line in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Location reference > Point location > Location extension > Facility location > Address,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,station,string,2,2,Wittelsbacher Straße | 13
800 Volt Technologies GmbH,payload.aegiEnergyInfrastructureTablePublication.energyInfrastructureTable[].energyInfrastructureSite[].energyInfrastructureStation[].locationReference.locPointLocation.locLocationExtensionG.FacilityLocation.address.addressLine[].type.value,Type value in AFIR energy infrastructure table publication > Energy infrastructure table > Charging site > Charging station > Location reference > Point location > Location extension > Facility location > Address > Address line,800_volt_technologies_gmbh,800 Volt Technologies GmbH,969322788846231552,AFIR-recharging-stat-PUMP,station,string,2,2,street | houseNumber
