distance_m,postcode_match,city_match,address_match,operator_similarity,provider_uid,static_publication_id,site_id,site_operator,site_address,site_postcode,site_city,site_total_evses,station_id,station_operator,station_address,station_postcode,station_city,station_charging_points_count,score
0.0,False,False,False,1.0,enbwmobility,907574882292453376,800000004,ENBW,,,,2,340482c6d0ae4e07,EnBW mobility+ AG und Co.KG,Weberstraße 13 72160 Horb am Neckar Landkreis Freudenstadt,72160,Horb am Neckar,2,-30.0
0.0,False,False,False,1.0,enbwmobility,907574882292453376,800000013,ENBW,,,,2,647bce42dcd22e1a,EnBW mobility+ AG und Co.KG,Wilhelmstr. 61 32257 Bünde Kreis Herford,32257,Bünde,2,-30.0
0.0,False,False,False,1.0,enbwmobility,907574882292453376,800000017,ENBW,,,,2,2db1f30014e9af80,EnBW mobility+ AG und Co.KG,Landshuter Str. 42 84416 Taufkirchen Landkreis Erding,84416,Taufkirchen,2,-30.0
0.0,False,False,False,1.0,enbwmobility,907574882292453376,800000021,ENBW,,,,2,ae34c8e84c21cc0b,EnBW mobility+ AG und Co.KG,Rötenweg 4 88518 Herbertingen Landkreis Sigmaringen,88518,Herbertingen,2,-30.0
0.0,False,False,False,1.0,enbwmobility,907574882292453376,800000024,ENBW,,,,2,1123e32dc44fbf79,EnBW mobility+ AG und Co.KG,Bayernwerkstraße 11 84130 Dingolfing Landkreis Dingolfing-Landau,84130,Dingolfing,2,-30.0
0.0,False,False,False,1.0,enbwmobility,907574882292453376,800000046,ENBW,,,,2,259807c77560b566,EnBW mobility+ AG und Co.KG,Jordanbad 3 88400 Biberach an der Riß Landkreis Biberach,88400,Biberach an der Riß,2,-30.0
0.0,False,False,False,1.0,enbwmobility,907574882292453376,800000047,ENBW,,,,2,88218b4886f2cf39,EnBW mobility+ AG und Co.KG,Allming 2 69226 Nußloch Landkreis Rhein-Neckar-Kreis,69226,Nußloch,2,-30.0
0.0,False,False,False,1.0,enbwmobility,907574882292453376,800000083,ENBW,,,,2,72d01c159a0874a3,EnBW mobility+ AG und Co.KG,Bahnhofstr. 6A 97500 Ebelsbach Landkreis Haßberge,97500,Ebelsbach,2,-30.0
0.0,False,False,False,1.0,enbwmobility,907574882292453376,800000084,ENBW,,,,2,c34b31cc2fff1cd5,EnBW mobility+ AG und Co.KG,Reutlinger Straße 1 72829 Engstingen Landkreis Reutlingen,72829,Engstingen,2,-30.0
0.0,False,False,False,1.0,enbwmobility,907574882292453376,800000097,ENBW,,,,2,5d8581713c79e87f,EnBW mobility+ AG und Co.KG,Petrusstr. 2 88436 Eberhardzell Landkreis Biberach,88436,Eberhardzell,2,-30.0
0.0,False,False,False,1.0,enbwmobility,907574882292453376,800000127,ENBW,,,,2,ac39254df9da44e3,EnBW mobility+ AG und Co.KG,Bahnhofstraße 1 72501 Gammertingen Landkreis Sigmaringen,72501,Gammertingen,2,-30.0
0.0,False,False,False,1.0,enbwmobility,907574882292453376,800000136,ENBW,,,,2,391f8de2502a07a3,EnBW mobility+ AG und Co.KG,Spinnereistraße 2 95445 Bayreuth Kreisfreie Stadt Bayreuth,95445,Bayreuth,2,-30.0
0.0,False,False,False,1.0,enbwmobility,907574882292453376,800000138,ENBW,,,,2,32b7a51a0b7cc0f6,EnBW mobility+ AG und Co.KG,Ludwig-Auer-Straße 2 86609 Donauwörth Landkreis Donau-Ries,86609,Donauwörth,2,-30.0
0.0,False,False,False,1.0,enbwmobility,907574882292453376,800000140,ENBW,,,,2,e2e0a1943c3faf62,EnBW mobility+ AG und Co.KG,Zeppelinstr. 25-27 72116 Mössingen Landkreis Tübingen,72116,Mössingen,2,-30.0
0.0,False,False,False,1.0,enbwmobility,907574882292453376,800000149,ENBW,,,,2,cd6325bc58804127,EnBW mobility+ AG und Co.KG,Gammertinger Str. 21 88499 Riedlingen Landkreis Biberach,88499,Riedlingen,2,-30.0
0.0,False,False,False,1.0,enbwmobility,907574882292453376,800000157,ENBW,,,,2,3cb2b198afd226bb,EnBW mobility+ AG und Co.KG,Lange Str. 24 72336 Balingen Landkreis Zollernalbkreis,72336,Balingen,2,-30.0
0.0,False,False,False,1.0,enbwmobility,907574882292453376,800000168,ENBW,,,,2,b93c53ea663bdc16,EnBW mobility+ AG und Co.KG,Ostpreussendamm 62 12207 Berlin Osterpreussen Kreisfreie Stadt Berlin,12207,Berlin Osterpreussen,2,-30.0
0.0,False,False,False,1.0,enbwmobility,907574882292453376,800000197,ENBW,,,,2,9c1e90e113774143,EnBW mobility+ AG und Co.KG,Fürther Straße 60 90587 Veitsbronn Landkreis Fürth,90587,Veitsbronn,2,-30.0
0.0,False,False,False,1.0,enbwmobility,907574882292453376,800000233,ENBW,,,,2,4a8e9a81144a8390,EnBW mobility+ AG und Co.KG,Hauptstr. 13 88273 Fronreute Landkreis Ravensburg,88273,Fronreute,2,-30.0
