distance_m,postcode_match,city_match,address_match,operator_similarity,provider_uid,static_publication_id,site_id,site_operator,site_address,site_postcode,site_city,site_total_evses,station_id,datex_station_ids,datex_charge_point_ids,station_operator,station_address,station_postcode,station_city,station_charging_points_count,station_in_bundle,score
0.0,True,True,True,1.0,chargecloud,978597062404620288,02247a73-5dd6-4993-85e7-65d6e3ab40d9,MVV Energie AG,Friedrichsplatz 5,68165,Mannheim,6,3b11237f4484d31e,03bf188d-6f82-4d35-b631-e3e724ff0d46|4c4f3ddb-505c-485d-b66e-d839480edf9a|0729ef00-9588-4d30-a0cf-1ea7d8addf6d,DEMVVE00577L1|DEMVVE00577R1|DEMVVE00578L1|DEMVVE00578R1|DEMVVE00579L1|DEMVVE00579R1,MVV Energie AG,Friedrichsplatz 5 68165 Mannheim Stadtkreis Mannheim,68165,Mannheim,6,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,02414717-5cb3-4f54-a00b-fa39cd08127e,TankE GmbH,Gotenring 8,50679,Köln,2,2a7fe4abaab1ebdd,c51b180c-28ec-49b5-8905-84761b90fc69,DETNKE0012402|DETNKE0012401,TankE GmbH,Gotenring 8 50679 Köln Kreisfreie Stadt Köln,50679,Köln,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,03430455-0be1-4277-b076-2e65c4554a80,TankE GmbH,Mönchsgasse 38,50737,Köln,2,97859f39092f211d,e37eeecc-ff87-465e-8db7-3140f7aa4295,DETNKE0049201|DETNKE0049202,TankE GmbH,Mönchsgasse 38 50737 Köln Kreisfreie Stadt Köln,50737,Köln,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,037d1c1d-821d-4940-b2d9-363a88ca0948,e-regio GmbH & Co. KG,Am Roten Boskoop 2,53332,Bornheim,2,9146f6281f10481b,3f1f8541-dcec-49c4-800d-c0da2d82a0f8,DEEREE008000L|DEEREE008000R,e-regio GmbH & Co. KG,Am Roten Boskoop 2 53332 Bornheim Kreis Rhein-Sieg-Kreis,53332,Bornheim,2,1,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,03a7e5b9-71ab-4daa-9763-872a4ed3f4a3,nonoxx pro GmbH,Erfurter Str. 2,24619,Trappenkamp,2,a91c20320940c5e2,b5dbc101-a374-446b-a9b6-ee42bcefe5e7,DENMSE500196001|DENMSE500196002,nonoxx pro GmbH,Erfurter Str. 2 24619 Trappenkamp Kreis Segeberg,24619,Trappenkamp,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,03d89e82-0d06-4573-bfde-6596d4ddf791,TankE GmbH,Piccoloministraße 464,51067,Köln,2,21f9f5bf918da2e8,95d50930-6c6f-4044-94b8-029fc7ccdf23,DETNKE0016302|DETNKE0016301,TankE GmbH,Piccoloministraße 464 51067 Köln Kreisfreie Stadt Köln,51067,Köln,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,041a7881-4e3b-4d41-9c9a-1da2a97cf685,Energie und Wasserversorgung Bonn/Rhein-Sieg GmbH (EnW Bonn/Rhein-Sieg),Königswinterer Straße 315,53227,Bonn,2,efd075e5c8440d48,d8b3cb0f-6d33-466b-93fa-c0d17c802c0c,DEOPEE0031700L|DEOPEE0031700R,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH,Königswinterer Straße 315 53227 Bonn Kreisfreie Stadt Bonn,53227,Bonn,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,045bf5e8-c07c-4c30-a484-e0b422140844,SWP Stadtwerke Pforzheim GmbH & Co. KG,Gumbinner Straße 0,75181,Pforzheim,2,584a841b674a0c73,cdc2626a-82cb-466c-a5e5-66ba79422a1f,DESPFE10060001|DESPFE10060002,SWP Stadtwerke Pforzheim GmbH&Co.KG,Gumbinner Straße 0 75181 Pforzheim Stadtkreis Pforzheim,75181,Pforzheim,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,046106e9-156d-48a0-8514-56676fba2b72,Stadtwerke Heidelberg Energie GmbH,Pfälzer Straße 21,69123,Heidelberg,2,654d0504335da74c,aa69bd2d-b2a9-4d5a-a705-45c944ee874d,DE1HDESWH31001|DE1HDESWH31002,Stadtwerke Heidelberg Energie GmbH,Pfälzer Straße 21 69123 Heidelberg Stadtkreis Heidelberg,69123,Heidelberg,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,049bb023-62e0-4e11-a1f6-ddf72d364829,Stadtwerke Stuttgart GmbH,Giebelstr. 30,70499,Stuttgart,2,da51b8cd32450f24,f169b170-a2f7-4d2d-b2d8-1a839ba8bac4,DESTRE10029001|DESTRE10029002,Stadtwerke Stuttgart GmbH,Giebelstr 30 70499 Stuttgart Stadtkreis Stuttgart,70499,Stuttgart,2,0,-100.0
